comb08,comb08U,combE,displ,drive,fuelType,fuelType1,id,make,model,VClass,year,atvType,evMotor,createdOn,modifiedOn
62,62,54,,Front-Wheel Drive,Electricity,Electricity,31893,Azure Dynamics,Transit Connect Electric Van,Special Purpose Vehicle 2WD,2012,EV,52 kW AC Induction,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
62,62,54,,Front-Wheel Drive,Electricity,Electricity,31894,Azure Dynamics,Transit Connect Electric Wagon,Special Purpose Vehicle 2WD,2012,EV,52 kW AC Induction,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
99,0,34,,Front-Wheel Drive,Electricity,Electricity,32154,Nissan,Leaf,Midsize Cars,2012,EV,80 kW DCPM,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
102,101.822,33,,Rear-Wheel Drive,Electricity,Electricity,32276,BMW,Active E,Subcompact Cars,2011,EV,125 kW AC Induction,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
73,72.7,46,,Front-Wheel Drive,Electricity,Electricity,32277,CODA Automotive,CODA,Subcompact Cars,2012,EV,100 kW DCPM,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
105,104.758,32,,Front-Wheel Drive,Electricity,Electricity,32278,Ford,Focus Electric,Compact Cars,2012,EV,107 kW AC Induction,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
89,88.8,38,,Rear-Wheel Drive,Electricity,Electricity,32557,Tesla,Model S,Large Cars,2012,EV,260 kW AC Induction,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
105,104.7587,32,,Front-Wheel Drive,Electricity,Electricity,33024,Ford,Focus Electric,Compact Cars,2013,EV,107 kW AC PMSM,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
118,118.142,29,,Front-Wheel Drive,Electricity,Electricity,33265,Honda,Fit EV,Small Station Wagons,2013,EV,92 kW DCPM,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
107,106.9856,32,,Rear-Wheel Drive,Electricity,Electricity,33305,smart,fortwo electric drive convertible,Two Seaters,2013,EV,55 kW DCPM,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
107,106.9856,32,,Rear-Wheel Drive,Electricity,Electricity,33306,smart,fortwo electric drive coupe,Two Seaters,2013,EV,55 kW DCPM,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
121,120.913,28,,Front-Wheel Drive,Electricity,Electricity,33307,Scion,iQ EV,Minicompact Cars,2013,EV,,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
76,76.169,44,,Front-Wheel Drive,Electricity,Electricity,33308,Toyota,RAV4 EV,Sport Utility Vehicle - 2WD,2012,EV,115 kW AC Induction,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
73,72.7,46,,Front-Wheel Drive,Electricity,Electricity,33337,CODA Automotive,CODA,Subcompact Cars,2013,EV,100 kW DCPM,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
112,112.2077,30,,Rear-Wheel Drive,Electricity,Electricity,33358,Mitsubishi,i-MiEV,Subcompact Cars,2013,EV,49 kW DCPM,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
95,95.4,35,,Rear-Wheel Drive,Electricity,Electricity,33367,Tesla,Model S (60 kW-hr battery pack),Large Cars,2013,EV,225 kW AC Induction,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
89,88.8,38,,Rear-Wheel Drive,Electricity,Electricity,33368,Tesla,Model S (85 kW-hr battery pack),Large Cars,2013,EV,270 kW AC Induction,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
62,61.9394,54,,Front-Wheel Drive,Electricity,Electricity,33383,BYD,e6,Sport Utility Vehicle - 2WD,2012,EV,75 kW AC PMSM,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
116,115.974,29,,Front-Wheel Drive,Electricity,Electricity,33396,Fiat,500e,Minicompact Cars,2013,EV,82 kW ACIPM,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
76,76.169,44,,Front-Wheel Drive,Electricity,Electricity,33397,Toyota,RAV4 EV,Small Sport Utility Vehicle 2WD,2013,EV,115 kW AC Induction,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
115,115.4934,29,,Front-Wheel Drive,Electricity,Electricity,33558,Nissan,Leaf,Midsize Cars,2013,EV,80 kW DCPM,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
94,94.3,36,,Rear-Wheel Drive,Electricity,Electricity,33612,Tesla,Model S (40 kW-hr battery pack),Large Cars,2013,EV,225 kW AC Induction,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
119,118.9,28,,Front-Wheel Drive,Electricity,Electricity,33640,Chevrolet,Spark EV,Subcompact Cars,2014,EV,104 kW AC Induction,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
118,118.142,29,,Front-Wheel Drive,Electricity,Electricity,33905,Honda,Fit EV,Small Station Wagons,2014,EV,92 kW DCPM,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
105,104.7587,32,,Front-Wheel Drive,Electricity,Electricity,34130,Ford,Focus Electric,Compact Cars,2014,EV,107 kW AC PMSM,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
